id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1589577998575239168,1589577998575239168,2022-11-07 06:18:22 EST,2022-11-07,06:18:22,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,Wow there are smudgy paw prints on your monitor? I’ll keep my eye out for a guy with paws  https://t.co/629Lxb7xwq,en,[],[],['https://pbs.twimg.com/media/Fg9Qw7FXgAEsRj_.jpg'],69,444,9266,[],[],https://twitter.com/JortsTheCat/status/1589577998575239168,False,,1,https://pbs.twimg.com/media/Fg9Qw7FXgAEsRj_.jpg,,,,,,,[],,,,
1587260619488575488,1587260619488575488,2022-10-31 21:49:56 EDT,2022-10-31,21:49:56,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,Seasonal reminder: Paw Patrol is copaganda,en,[],[],[],16,113,1402,[],[],https://twitter.com/JortsTheCat/status/1587260619488575488,False,https://twitter.com/geekchicohio/status/1587126781017980933,0,,,,,,,,[],,,,
1585872629403045889,1585872629403045889,2022-10-28 01:54:33 EDT,2022-10-28,01:54:33,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,"If you’re getting mauled, check if there was a paw print on our app!",en,[],[],[],20,172,1173,[],[],https://twitter.com/JortsTheCat/status/1585872629403045889,False,https://twitter.com/jason_koebler/status/1585345707636293633,0,,,,,,,,[],,,,
1585758728426426368,1585758728426426368,2022-10-27 18:21:57 EDT,2022-10-27,18:21:57,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,4 steps (one for each paw),en,[],[],[],4,50,340,[],[],https://twitter.com/JortsTheCat/status/1585758728426426368,False,https://twitter.com/NLRBGC/status/1585666362206298113,0,,,,,,,,[],,,,
1568481751810605058,1568478416944627713,2022-09-10 02:09:25 EDT,2022-09-10,02:09:25,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,@spiderandme @paulbrislen There has to be a space between “it’s not even real” and “overrated” and I guess that space is paw paw sized,en,[],[],[],3,10,238,[],[],https://twitter.com/JortsTheCat/status/1568481751810605058,False,,0,,,,,,,,"[{'screen_name': 'spiderandme', 'name': 'Spider', 'id': '2822607260'}, {'screen_name': 'paulbrislen', 'name': 'paulbrislen', 'id': '16428322'}]",,,,
1568478416944627713,1568478416944627713,2022-09-10 01:56:10 EDT,2022-09-10,01:56:10,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,Are paw paw fruits real or is that just a joke,en,[],[],[],376,87,4899,[],[],https://twitter.com/JortsTheCat/status/1568478416944627713,False,,0,,,,,,,,[],,,,
1560133959853281280,1560133959853281280,2022-08-18 01:18:16 EDT,2022-08-18,01:18:16,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,The softest paw can be a claw,en,[],[],[],4,132,1497,[],[],https://twitter.com/JortsTheCat/status/1560133959853281280,False,https://twitter.com/APWUnational/status/1559962367257100288,0,,,,,,,,[],,,,
1559777375298039809,1559422551545335809,2022-08-17 01:41:20 EDT,2022-08-17,01:41:20,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,@yugopnik 🎶The softest paw Can be a claw 🎶,en,[],[],[],6,9,518,[],[],https://twitter.com/JortsTheCat/status/1559777375298039809,False,,0,,,,,,,,"[{'screen_name': 'yugopnik', 'name': 'Yugopnik🏆 🇷🇸 🇭🇷 🏆', 'id': '1015999862263951360'}]",,,,
1553132265982439424,1553132265982439424,2022-07-29 17:36:02 EDT,2022-07-29,17:36:02,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,The softest paw can be a claw  https://t.co/e174cFH0rt,en,[],[],['https://pbs.twimg.com/media/FY3VjwHUUAA5OKV.jpg'],63,514,9895,[],[],https://twitter.com/JortsTheCat/status/1553132265982439424,False,,1,https://pbs.twimg.com/media/FY3VjwHUUAA5OKV.jpg,,,,,,,[],,,,
1543817625519525888,1540228232607240192,2022-07-04 00:42:59 EDT,2022-07-04,00:42:59,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,@paramountplus I am worried that paw patrol is unfortunately copaganda,en,[],[],[],1,3,51,[],[],https://twitter.com/JortsTheCat/status/1543817625519525888,False,,0,,,,,,,,"[{'screen_name': 'paramountplus', 'name': 'Paramount+', 'id': '922928836836130816'}]",,,,
1537939995175989248,1537939995175989248,2022-06-17 19:27:23 EDT,2022-06-17,19:27:23,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,The softest paw can be a claw. This is still nice guy stuff,en,[],[],[],33,216,4606,[],[],https://twitter.com/JortsTheCat/status/1537939995175989248,False,https://twitter.com/MikeSington/status/1537441538623406080,0,,,,,,,,[],,,,
1530993243504070656,1530993243504070656,2022-05-29 15:23:28 EDT,2022-05-29,15:23:28,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,Washed one paw. Resting up to tackle the rest. Sí se puede  https://t.co/gvKaUReyh6,en,[],[],['https://pbs.twimg.com/media/FT8uPXUVUAMkIY9.jpg'],47,265,7295,[],[],https://twitter.com/JortsTheCat/status/1530993243504070656,False,,1,https://pbs.twimg.com/media/FT8uPXUVUAMkIY9.jpg,,,,,,,[],,,,
1523734412709355521,1523734412709355521,2022-05-09 14:39:28 EDT,2022-05-09,14:39:28,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,SOFTEST PAW CAN BE A CLAW 🔥 sign up:  https://t.co/TMLSL0pM2G  https://t.co/dnj648Zkcx,en,[],['http://tinyurl.com/redhotsummer'],['https://pbs.twimg.com/media/FSVkXqZVIAAp4Eh.jpg'],5,204,970,[],[],https://twitter.com/JortsTheCat/status/1523734412709355521,False,https://twitter.com/YDSA_/status/1523711433686458370,1,https://pbs.twimg.com/media/FSVkXqZVIAAp4Eh.jpg,,,,,,,[],,,,
1523217244670496768,1523201602982531072,2022-05-08 04:24:25 EDT,2022-05-08,04:24:25,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,"@skaboomizzy I have been given cat grass but I knocked it over, danced in the soil, and somehow left dirty paw prints on the walls. This has occurred multiple times tbh",en,[],[],[],2,4,160,[],[],https://twitter.com/JortsTheCat/status/1523217244670496768,False,,0,,,,,,,,"[{'screen_name': 'skaboomizzy', 'name': 'Highway to The Cool Zone', 'id': '295012378'}]",,,,
1521626430152445953,1521613393047740417,2022-05-03 19:03:06 EDT,2022-05-03,19:03:06,-0500,1470944601309528072,jortsthecat,Jorts (and Jean),,"@fidgety_hands This was a wonderful explanation and it made perfect sense (I think?)  Passively assuming good intent isn’t always ideal, but making a salty joke using a goofy performative assumption of good intent makes it ‘weaponized’ instead of passively letting someone stand on my paw",en,[],[],[],3,0,80,[],[],https://twitter.com/JortsTheCat/status/1521626430152445953,False,,0,,,,,,,,"[{'screen_name': 'fidgety_hands', 'name': 'Fidgety Hands', 'id': '1395040114498211841'}]",,,,
